date,team,elo
2026-06-15,Haiti,1688
2026-06-15,Iran,1882
2026-06-15,Iraq,1737
2026-06-15,Ivory Coast,1860
2026-06-15,Japan,1994
2026-06-15,Jordan,1775
2026-06-15,Mexico,1987
2026-06-15,Morocco,1991
2026-06-15,Netherlands,2007
2026-06-15,New Zealand,1734
2026-06-15,Norway,1970
2026-06-15,Panama,1854
2026-06-15,Paraguay,1866
2026-06-15,Portugal,2044
2026-06-15,Qatar,1589
2026-06-15,Saudi Arabia,1712
2026-06-15,Scotland,1861
2026-06-15,Senegal,1913
2026-06-15,South Africa,1655
2026-06-15,South Korea,1903
2026-06-15,Spain,2189
2026-06-15,Sweden,1820
2026-06-15,Switzerland,1930
2026-06-15,Tunisia,1686
2026-06-15,Turkey,1914
2026-06-15,United States,1877
2026-06-15,Uruguay,1954
2026-06-15,Uzbekistan,1820
2026-06-16,Algeria,1868
2026-06-16,Argentina,2204
2026-06-16,Australia,1954
2026-06-16,Austria,1919
2026-06-16,Belgium,1943
2026-06-16,Bosnia and Herzegovina,1673
2026-06-16,Brazil,2060
2026-06-16,Canada,1875
2026-06-16,Cape Verde,1681
2026-06-16,Colombia,2062
2026-06-16,Croatia,1968
2026-06-16,Curaçao,1594
2026-06-16,Czech Republic,1777
2026-06-16,DR Congo,1763
2026-06-16,Ecuador,1980
2026-06-16,Egypt,1822
2026-06-16,England,2089
2026-06-16,France,2144
2026-06-16,Germany,2015
2026-06-16,Ghana,1625
2026-06-16,Haiti,1688
2026-06-16,Iran,1882
2026-06-16,Iraq,1715
2026-06-16,Ivory Coast,1860
2026-06-16,Japan,1994
2026-06-16,Jordan,1744
2026-06-16,Mexico,1987
2026-06-16,Morocco,1991
2026-06-16,Netherlands,2007
2026-06-16,New Zealand,1734
2026-06-16,Norway,1992
2026-06-16,Panama,1854
2026-06-16,Paraguay,1866
2026-06-16,Portugal,2044
2026-06-16,Qatar,1589
2026-06-16,Saudi Arabia,1712
2026-06-16,Scotland,1861
2026-06-16,Senegal,1892
2026-06-16,South Africa,1655
2026-06-16,South Korea,1903
2026-06-16,Spain,2189
2026-06-16,Sweden,1820
2026-06-16,Switzerland,1930
2026-06-16,Tunisia,1686
2026-06-16,Turkey,1914
2026-06-16,United States,1877
2026-06-16,Uruguay,1954
2026-06-16,Uzbekistan,1820
2026-06-17,Algeria,1868
2026-06-17,Argentina,2204
2026-06-17,Australia,1954
2026-06-17,Austria,1919
2026-06-17,Belgium,1943
2026-06-17,Bosnia and Herzegovina,1673
2026-06-17,Brazil,2060
2026-06-17,Canada,1875
2026-06-17,Cape Verde,1681
2026-06-17,Colombia,2080
2026-06-17,Croatia,1938
2026-06-17,Curaçao,1594
2026-06-17,Czech Republic,1777
2026-06-17,DR Congo,1783
2026-06-17,Ecuador,1980
2026-06-17,Egypt,1822
2026-06-17,England,2119
2026-06-17,France,2144
2026-06-17,Germany,2015
2026-06-17,Ghana,1672
2026-06-17,Haiti,1688
2026-06-17,Iran,1882
2026-06-17,Iraq,1715
2026-06-17,Ivory Coast,1860
2026-06-17,Japan,1994
2026-06-17,Jordan,1744
2026-06-17,Mexico,1987
2026-06-17,Morocco,1991
2026-06-17,Netherlands,2007
2026-06-17,New Zealand,1734
2026-06-17,Norway,1992
2026-06-17,Panama,1806
2026-06-17,Paraguay,1866
2026-06-17,Portugal,2024
2026-06-17,Qatar,1589
2026-06-17,Saudi Arabia,1712
2026-06-17,Scotland,1861
2026-06-17,Senegal,1892
2026-06-17,South Africa,1655
2026-06-17,South Korea,1903
2026-06-17,Spain,2189
2026-06-17,Sweden,1820
2026-06-17,Switzerland,1930
2026-06-17,Tunisia,1686
2026-06-17,Turkey,1914
2026-06-17,United States,1877
2026-06-17,Uruguay,1954
2026-06-17,Uzbekistan,1802
2026-06-18,Algeria,1868
2026-06-18,Argentina,2204
2026-06-18,Australia,1954
2026-06-18,Austria,1919
2026-06-18,Belgium,1943
2026-06-18,Bosnia and Herzegovina,1653
2026-06-18,Brazil,2060
2026-06-18,Canada,1888
2026-06-18,Cape Verde,1681
2026-06-18,Colombia,2080
2026-06-18,Croatia,1938
2026-06-18,Curaçao,1594
2026-06-18,Czech Republic,1767
2026-06-18,DR Congo,1783
2026-06-18,Ecuador,1980
2026-06-18,Egypt,1822
2026-06-18,England,2119
2026-06-18,France,2144
2026-06-18,Germany,2015
2026-06-18,Ghana,1672
2026-06-18,Haiti,1688
2026-06-18,Iran,1882
2026-06-18,Iraq,1715
2026-06-18,Ivory Coast,1860
2026-06-18,Japan,1994
2026-06-18,Jordan,1744
2026-06-18,Mexico,2002
2026-06-18,Morocco,1991
2026-06-18,Netherlands,2007
2026-06-18,New Zealand,1734
2026-06-18,Norway,1992
2026-06-18,Panama,1806
2026-06-18,Paraguay,1866
2026-06-18,Portugal,2024
2026-06-18,Qatar,1577
2026-06-18,Saudi Arabia,1712
2026-06-18,Scotland,1861
2026-06-18,Senegal,1892
2026-06-18,South Africa,1665
2026-06-18,South Korea,1888
2026-06-18,Spain,2189
2026-06-18,Sweden,1820
2026-06-18,Switzerland,1949
2026-06-18,Tunisia,1686
2026-06-18,Turkey,1914
2026-06-18,United States,1877
2026-06-18,Uruguay,1954
2026-06-18,Uzbekistan,1802
2026-06-19,Algeria,1868
2026-06-19,Argentina,2204
2026-06-19,Australia,1954
2026-06-19,Austria,1919
2026-06-19,Belgium,1943
2026-06-19,Bosnia and Herzegovina,1653
2026-06-19,Brazil,2060
2026-06-19,Canada,1888
2026-06-19,Cape Verde,1681
2026-06-19,Colombia,2080
2026-06-19,Croatia,1938
2026-06-19,Curaçao,1594
2026-06-19,Czech Republic,1767
2026-06-19,DR Congo,1783
2026-06-19,Ecuador,1980
2026-06-19,Egypt,1822
2026-06-19,England,2119
2026-06-19,France,2144
2026-06-19,Germany,2015
2026-06-19,Ghana,1672
2026-06-19,Haiti,1688
2026-06-19,Iran,1882
2026-06-19,Iraq,1715
2026-06-19,Ivory Coast,1860
2026-06-19,Japan,1994
2026-06-19,Jordan,1744
2026-06-19,Mexico,2002
2026-06-19,Morocco,1991
2026-06-19,Netherlands,2007
2026-06-19,New Zealand,1734
2026-06-19,Norway,1992
2026-06-19,Panama,1806
2026-06-19,Paraguay,1866
2026-06-19,Portugal,2024
2026-06-19,Qatar,1577
2026-06-19,Saudi Arabia,1712
2026-06-19,Scotland,1861
2026-06-19,Senegal,1892
2026-06-19,South Africa,1665
2026-06-19,South Korea,1888
2026-06-19,Spain,2189
2026-06-19,Sweden,1820
2026-06-19,Switzerland,1949
2026-06-19,Tunisia,1686
2026-06-19,Turkey,1914
2026-06-19,United States,1877
2026-06-19,Uruguay,1954
2026-06-19,Uzbekistan,1802
2026-06-20,Algeria,1868
2026-06-20,Argentina,2204
2026-06-20,Australia,1954
2026-06-20,Austria,1919
2026-06-20,Belgium,1943
2026-06-20,Bosnia and Herzegovina,1653
2026-06-20,Brazil,2060
2026-06-20,Canada,1888
2026-06-20,Cape Verde,1681
2026-06-20,Colombia,2080
2026-06-20,Croatia,1938
2026-06-20,Curaçao,1594
2026-06-20,Czech Republic,1767
2026-06-20,DR Congo,1783
2026-06-20,Ecuador,1980
2026-06-20,Egypt,1822
2026-06-20,England,2119
2026-06-20,France,2144
2026-06-20,Germany,2015
2026-06-20,Ghana,1672
2026-06-20,Haiti,1688
2026-06-20,Iran,1882
2026-06-20,Iraq,1715
2026-06-20,Ivory Coast,1860
2026-06-20,Japan,1994
2026-06-20,Jordan,1744
2026-06-20,Mexico,2002
2026-06-20,Morocco,1991
2026-06-20,Netherlands,2007
2026-06-20,New Zealand,1734
2026-06-20,Norway,1992
2026-06-20,Panama,1806
2026-06-20,Paraguay,1866
2026-06-20,Portugal,2024
2026-06-20,Qatar,1577
2026-06-20,Saudi Arabia,1712
2026-06-20,Scotland,1861
2026-06-20,Senegal,1892
2026-06-20,South Africa,1665
2026-06-20,South Korea,1888
2026-06-20,Spain,2189
2026-06-20,Sweden,1820
2026-06-20,Switzerland,1949
2026-06-20,Tunisia,1686
2026-06-20,Turkey,1914
2026-06-20,United States,1877
2026-06-20,Uruguay,1954
2026-06-20,Uzbekistan,1802
2026-06-21,Algeria,1868
2026-06-21,Argentina,2204
2026-06-21,Australia,1954
2026-06-21,Austria,1919
2026-06-21,Belgium,1943
2026-06-21,Bosnia and Herzegovina,1653
2026-06-21,Brazil,2060
2026-06-21,Canada,1888
2026-06-21,Cape Verde,1681
2026-06-21,Colombia,2080
2026-06-21,Croatia,1938
2026-06-21,Curaçao,1594
2026-06-21,Czech Republic,1767
2026-06-21,DR Congo,1783
2026-06-21,Ecuador,1980
2026-06-21,Egypt,1822
2026-06-21,England,2119
2026-06-21,France,2144
2026-06-21,Germany,2015
2026-06-21,Ghana,1672
2026-06-21,Haiti,1688
2026-06-21,Iran,1882
2026-06-21,Iraq,1715
2026-06-21,Ivory Coast,1860
2026-06-21,Japan,1994
2026-06-21,Jordan,1744
2026-06-21,Mexico,2002
2026-06-21,Morocco,1991
2026-06-21,Netherlands,2007
2026-06-21,New Zealand,1734
2026-06-21,Norway,1992
2026-06-21,Panama,1806
2026-06-21,Paraguay,1866
2026-06-21,Portugal,2024
2026-06-21,Qatar,1577
2026-06-21,Saudi Arabia,1712
2026-06-21,Scotland,1861
2026-06-21,Senegal,1892
2026-06-21,South Africa,1665
2026-06-21,South Korea,1888
2026-06-21,Spain,2189
2026-06-21,Sweden,1820
2026-06-21,Switzerland,1949
2026-06-21,Tunisia,1686
2026-06-21,Turkey,1914
2026-06-21,United States,1877
2026-06-21,Uruguay,1954
2026-06-21,Uzbekistan,1802
