date,team,R32,R16,QF,SF,F,champion
2026-06-12,Colombia,0.858,0.5616,0.3254,0.1834,0.1008,0.0504
2026-06-12,Portugal,0.854,0.5686,0.327,0.1748,0.0956,0.0464
2026-06-12,France,0.873,0.5608,0.3178,0.1766,0.0912,0.0458
2026-06-12,Germany,0.8976,0.5282,0.2686,0.1404,0.0618,0.0296
2026-06-12,Ecuador,0.8476,0.4736,0.2338,0.1156,0.052,0.0268
2026-06-12,Belgium,0.8392,0.502,0.25,0.1106,0.055,0.0242
2026-06-12,Uruguay,0.8538,0.4012,0.227,0.1184,0.0538,0.0242
2026-06-12,Mexico,0.9872,0.6314,0.3266,0.1514,0.061,0.0228
2026-06-12,Australia,0.825,0.4644,0.2278,0.1052,0.0488,0.0222
2026-06-12,Netherlands,0.8424,0.4124,0.2398,0.122,0.0564,0.0206
2026-06-12,Iran,0.792,0.4296,0.1908,0.0862,0.043,0.0194
2026-06-12,United States,0.9808,0.5832,0.2884,0.112,0.044,0.0166
2026-06-12,Canada,0.8992,0.5128,0.2442,0.0946,0.038,0.0162
2026-06-12,Senegal,0.7372,0.389,0.1808,0.084,0.0344,0.015
2026-06-12,Algeria,0.7228,0.3124,0.1608,0.0726,0.0344,0.0146
2026-06-12,Croatia,0.8082,0.3818,0.1578,0.071,0.0308,0.014
2026-06-12,Switzerland,0.9016,0.4706,0.2024,0.0838,0.0342,0.0128
2026-06-12,South Korea,0.951,0.5092,0.1996,0.0828,0.0334,0.0122
2026-06-12,Norway,0.7282,0.3742,0.165,0.0676,0.0274,0.0108
2026-06-12,Ivory Coast,0.7284,0.3192,0.1272,0.0542,0.0206,0.0076
2026-06-12,Uzbekistan,0.5474,0.2374,0.0844,0.0322,0.0124,0.0038
2026-06-12,Austria,0.6106,0.2312,0.1012,0.039,0.0126,0.0036
2026-06-12,Tunisia,0.536,0.1816,0.0676,0.0256,0.0082,0.0036
2026-06-12,Egypt,0.592,0.2598,0.0944,0.0298,0.0084,0.0024
2026-06-12,Turkey,0.546,0.219,0.073,0.0254,0.0072,0.0018
2026-06-12,Scotland,0.4902,0.16,0.057,0.0166,0.0046,0.0016
2026-06-12,Paraguay,0.3074,0.1152,0.0434,0.0152,0.0048,0.0016
2026-06-12,New Zealand,0.5018,0.2092,0.0646,0.0186,0.0058,0.001
2026-06-12,Panama,0.5014,0.1462,0.0394,0.0104,0.0028,0.0008
2026-06-12,Saudi Arabia,0.4624,0.1198,0.0362,0.011,0.0036,0.0008
2026-06-12,Czech Republic,0.3954,0.1484,0.0438,0.0112,0.0034,0.0008
2026-06-12,DR Congo,0.4046,0.1444,0.0442,0.0124,0.0032,0.0008
2026-06-12,Sweden,0.4192,0.1262,0.0426,0.0116,0.0034,0.0004
2026-06-12,Iraq,0.3638,0.1232,0.0374,0.0102,0.0032,0.0004
2026-06-12,Ghana,0.3842,0.0868,0.021,0.0048,0.0014,0.0002
2026-06-12,Haiti,0.3132,0.081,0.0242,0.0054,0.0008,0.0002
2026-06-12,Qatar,0.4162,0.1024,0.0196,0.0036,0.0002,0.0
2026-06-12,South Africa,0.2984,0.1,0.0254,0.0028,0.0006,0.0
2026-06-12,Bosnia and Herzegovina,0.463,0.1002,0.0168,0.0026,0.0004,0.0
2026-06-12,Curaçao,0.229,0.049,0.0088,0.0018,0.0002,0.0
2026-06-12,Cape Verde,0.3056,0.0638,0.0176,0.0048,0.001,0.0
2026-06-12,Jordan,0.3636,0.101,0.0322,0.0084,0.002,0.0
2026-06-13,Argentina,0.959,0.6642,0.4842,0.3412,0.2286,0.1494
2026-06-13,Spain,0.965,0.6214,0.4138,0.2972,0.1872,0.1114
2026-06-13,Brazil,0.945,0.6064,0.4034,0.2468,0.14,0.0856
2026-06-13,England,0.9522,0.607,0.3612,0.2138,0.1184,0.0668
2026-06-13,Morocco,0.9096,0.5368,0.3356,0.2048,0.1084,0.0564
2026-06-13,Colombia,0.8462,0.56,0.3332,0.1804,0.0998,0.05
2026-06-13,Japan,0.8884,0.4898,0.3222,0.1874,0.0996,0.049
2026-06-13,Portugal,0.8502,0.561,0.326,0.176,0.0908,0.0482
2026-06-13,France,0.8638,0.5574,0.313,0.1744,0.0916,0.0476
2026-06-13,Australia,0.9778,0.5892,0.2946,0.1424,0.0712,0.0354
2026-06-13,Mexico,0.986,0.6236,0.3178,0.146,0.061,0.0284
2026-06-13,Uruguay,0.8464,0.3906,0.2156,0.1168,0.055,0.0262
2026-06-13,Netherlands,0.8262,0.4016,0.2328,0.1242,0.0636,0.0262
2026-06-13,Germany,0.9,0.5276,0.2676,0.134,0.0608,0.0246
2026-06-13,Ecuador,0.8488,0.4706,0.2256,0.1102,0.05,0.0234
2026-06-13,Belgium,0.827,0.4978,0.2464,0.1092,0.0558,0.0212
2026-06-13,Algeria,0.7268,0.3162,0.155,0.0722,0.0352,0.0162
2026-06-13,United States,0.9846,0.5888,0.2782,0.1042,0.0398,0.0156
2026-06-13,Iran,0.7882,0.4422,0.2008,0.0946,0.0426,0.014
2026-06-13,Canada,0.8904,0.5024,0.24,0.0942,0.039,0.0132
2026-06-13,South Korea,0.955,0.5434,0.227,0.0918,0.038,0.0128
2026-06-13,Norway,0.7308,0.379,0.174,0.0744,0.028,0.0124
2026-06-13,Senegal,0.725,0.373,0.1746,0.0784,0.0318,0.0122
2026-06-13,Croatia,0.807,0.3576,0.1564,0.0678,0.0302,0.0116
2026-06-13,Switzerland,0.8042,0.4052,0.1744,0.0704,0.0272,0.0104
2026-06-13,Ivory Coast,0.7266,0.3232,0.1274,0.0466,0.0178,0.0076
2026-06-13,Austria,0.6068,0.234,0.1032,0.0424,0.014,0.0048
2026-06-13,Uzbekistan,0.5534,0.2368,0.084,0.0302,0.0096,0.004
2026-06-13,Egypt,0.5836,0.2432,0.0908,0.0272,0.009,0.0026
2026-06-13,Tunisia,0.5456,0.1868,0.0782,0.028,0.01,0.0022
2026-06-13,New Zealand,0.5084,0.2074,0.0682,0.0194,0.0068,0.0016
2026-06-13,Paraguay,0.3144,0.116,0.039,0.0142,0.0048,0.0014
2026-06-13,Turkey,0.3476,0.1184,0.0412,0.0122,0.0034,0.0012
2026-06-13,Iraq,0.3708,0.1254,0.0376,0.0104,0.0032,0.0012
2026-06-13,DR Congo,0.4182,0.1542,0.045,0.0128,0.0048,0.001
2026-06-13,Scotland,0.776,0.2518,0.0868,0.026,0.0052,0.0008
2026-06-13,Czech Republic,0.3992,0.1412,0.041,0.011,0.0026,0.0008
2026-06-13,Jordan,0.3638,0.0996,0.0334,0.0104,0.0016,0.0006
2026-06-13,Sweden,0.4242,0.1214,0.0448,0.0086,0.0024,0.0006
2026-06-13,Qatar,0.5244,0.1312,0.029,0.006,0.0012,0.0006
2026-06-13,Panama,0.4978,0.1532,0.041,0.0096,0.0036,0.0004
2026-06-13,Saudi Arabia,0.4636,0.1208,0.04,0.0124,0.0028,0.0002
2026-06-13,South Africa,0.2862,0.095,0.0242,0.0072,0.0016,0.0002
2026-06-13,Bosnia and Herzegovina,0.4462,0.0936,0.0146,0.0022,0.0002,0.0
2026-06-13,Haiti,0.1094,0.0298,0.007,0.0008,0.0004,0.0
2026-06-13,Curaçao,0.2296,0.0428,0.0092,0.0014,0.0002,0.0
2026-06-13,Cape Verde,0.3112,0.0626,0.0172,0.0022,0.0004,0.0
2026-06-13,Ghana,0.3894,0.0988,0.0238,0.006,0.0008,0.0
2026-06-14,Argentina,0.9558,0.6558,0.477,0.3404,0.2286,0.148
2026-06-14,Spain,0.9656,0.6232,0.4232,0.2882,0.1836,0.1132
2026-06-14,Brazil,0.9442,0.5896,0.3984,0.246,0.1392,0.0826
2026-06-14,England,0.9512,0.614,0.3672,0.22,0.123,0.0706
2026-06-14,Morocco,0.9106,0.5326,0.3294,0.191,0.099,0.05
2026-06-14,Japan,0.891,0.4968,0.3076,0.1726,0.0948,0.0494
2026-06-14,Portugal,0.8434,0.5638,0.3226,0.1798,0.101,0.0482
2026-06-14,France,0.873,0.5606,0.3198,0.182,0.091,0.047
2026-06-14,Colombia,0.8444,0.5532,0.3118,0.1652,0.088,0.0434
2026-06-14,Germany,0.9972,0.6092,0.3292,0.1688,0.0848,0.0404
2026-06-14,Australia,0.98,0.5856,0.2956,0.1452,0.0672,0.0302
2026-06-14,Belgium,0.8312,0.4914,0.2502,0.1176,0.0612,0.0268
2026-06-14,Mexico,0.9876,0.621,0.3108,0.1396,0.0598,0.0252
2026-06-14,Netherlands,0.8572,0.418,0.2442,0.125,0.0546,0.0236
2026-06-14,Uruguay,0.844,0.4062,0.2238,0.1124,0.0516,0.0234
2026-06-14,Iran,0.7738,0.431,0.2048,0.0908,0.0416,0.0184
2026-06-14,United States,0.985,0.5796,0.2824,0.11,0.0408,0.017
2026-06-14,Norway,0.73,0.373,0.1662,0.0728,0.0334,0.0156
2026-06-14,Senegal,0.7134,0.3688,0.1686,0.0776,0.0364,0.015
2026-06-14,Canada,0.87,0.4818,0.2298,0.0846,0.036,0.0146
2026-06-14,Ecuador,0.694,0.3514,0.1686,0.078,0.0366,0.0146
2026-06-14,Algeria,0.7206,0.3072,0.1572,0.0774,0.034,0.0126
2026-06-14,Croatia,0.8124,0.3638,0.1482,0.0666,0.0274,0.011
2026-06-14,Ivory Coast,0.966,0.4536,0.1796,0.0728,0.0264,0.0102
2026-06-14,South Korea,0.9508,0.5268,0.2102,0.089,0.0348,0.0102
2026-06-14,Switzerland,0.8162,0.417,0.1842,0.0772,0.0314,0.0102
2026-06-14,Austria,0.6048,0.2246,0.0988,0.0376,0.0166,0.007
2026-06-14,Uzbekistan,0.5396,0.2456,0.09,0.0358,0.0146,0.0056
2026-06-14,Egypt,0.5868,0.2524,0.0852,0.0316,0.0086,0.0024
2026-06-14,Sweden,0.916,0.2966,0.1234,0.0376,0.0082,0.0022
2026-06-14,DR Congo,0.4042,0.1546,0.0478,0.0178,0.0054,0.002
2026-06-14,Scotland,0.7688,0.2476,0.0914,0.0298,0.0066,0.0018
2026-06-14,Turkey,0.3422,0.1182,0.0368,0.0124,0.0038,0.0016
2026-06-14,New Zealand,0.4982,0.199,0.0658,0.0216,0.0072,0.0016
2026-06-14,Panama,0.4786,0.126,0.0354,0.0086,0.0028,0.001
2026-06-14,Iraq,0.3616,0.127,0.0318,0.0086,0.003,0.001
2026-06-14,Tunisia,0.1476,0.05,0.0194,0.0034,0.0016,0.0006
2026-06-14,South Africa,0.2792,0.0922,0.0268,0.0074,0.002,0.0006
2026-06-14,Czech Republic,0.4036,0.1496,0.0442,0.0138,0.0048,0.0004
2026-06-14,Paraguay,0.3026,0.107,0.035,0.0104,0.0024,0.0004
2026-06-14,Qatar,0.5328,0.1306,0.0264,0.0048,0.001,0.0002
2026-06-14,Ghana,0.383,0.0916,0.0222,0.0042,0.0012,0.0002
2026-06-14,Haiti,0.1028,0.0238,0.0044,0.0008,0.0,0.0
2026-06-14,Bosnia and Herzegovina,0.4548,0.0972,0.0166,0.0024,0.0002,0.0
2026-06-14,Saudi Arabia,0.45,0.12,0.0368,0.0094,0.0014,0.0
2026-06-14,Cape Verde,0.2884,0.054,0.016,0.0034,0.0008,0.0
2026-06-14,Curaçao,0.0836,0.0128,0.0032,0.0,0.0,0.0
2026-06-14,Jordan,0.3622,0.1046,0.032,0.008,0.0016,0.0
2026-06-15,Argentina,0.9548,0.6792,0.493,0.3522,0.2412,0.158
2026-06-15,Spain,0.896,0.5786,0.3922,0.2698,0.1788,0.1126
2026-06-15,Brazil,0.955,0.612,0.4018,0.2432,0.1408,0.0808
2026-06-15,England,0.9432,0.6094,0.3752,0.217,0.1278,0.0684
2026-06-15,Portugal,0.86,0.5718,0.3306,0.1822,0.0958,0.0506
2026-06-15,France,0.8784,0.5698,0.3386,0.1934,0.0974,0.0506
2026-06-15,Japan,0.8886,0.4792,0.304,0.177,0.095,0.049
2026-06-15,Morocco,0.9076,0.5266,0.3214,0.182,0.099,0.0478
2026-06-15,Colombia,0.8444,0.5594,0.3152,0.173,0.0928,0.047
2026-06-15,Germany,0.996,0.5996,0.3232,0.1688,0.087,0.0404
2026-06-15,Australia,0.976,0.583,0.2948,0.1368,0.066,0.0294
2026-06-15,Netherlands,0.8622,0.4174,0.238,0.1354,0.061,0.0268
2026-06-15,Belgium,0.7828,0.4642,0.2398,0.1146,0.0568,0.0252
2026-06-15,Mexico,0.9852,0.6226,0.307,0.1332,0.055,0.0226
2026-06-15,United States,0.9794,0.574,0.2816,0.12,0.046,0.0192
2026-06-15,Uruguay,0.7436,0.3536,0.1786,0.0896,0.0398,0.0184
2026-06-15,Ecuador,0.6862,0.3452,0.166,0.075,0.0336,0.0164
2026-06-15,South Korea,0.95,0.5282,0.2284,0.094,0.0348,0.015
2026-06-15,Canada,0.8822,0.4968,0.2402,0.0932,0.0398,0.0146
2026-06-15,Iran,0.689,0.3776,0.1712,0.076,0.0328,0.0144
2026-06-15,Algeria,0.7276,0.3352,0.1612,0.0762,0.033,0.0134
2026-06-15,Norway,0.7272,0.3734,0.1684,0.073,0.028,0.0116
2026-06-15,Croatia,0.8056,0.3638,0.1602,0.066,0.0264,0.0108
2026-06-15,Senegal,0.7114,0.366,0.1688,0.077,0.0292,0.0104
2026-06-15,Ivory Coast,0.9622,0.4416,0.1762,0.0716,0.029,0.008
2026-06-15,Switzerland,0.8232,0.429,0.1886,0.0756,0.026,0.0078
2026-06-15,Austria,0.5934,0.2382,0.1096,0.04,0.0152,0.0056
2026-06-15,Uzbekistan,0.5416,0.2306,0.0896,0.0364,0.0118,0.0048
2026-06-15,Egypt,0.6434,0.2744,0.0988,0.0354,0.013,0.0036
2026-06-15,Turkey,0.3582,0.1294,0.0422,0.0166,0.0056,0.0026
2026-06-15,Scotland,0.7658,0.255,0.0902,0.0312,0.0092,0.0026
2026-06-15,Sweden,0.9148,0.2962,0.1112,0.0346,0.0108,0.0022
2026-06-15,Paraguay,0.315,0.1154,0.0358,0.0128,0.0056,0.002
2026-06-15,New Zealand,0.529,0.2184,0.0716,0.0232,0.0076,0.0016
2026-06-15,Panama,0.4824,0.133,0.038,0.0126,0.0032,0.001
2026-06-15,DR Congo,0.406,0.1538,0.0538,0.0156,0.0044,0.0008
2026-06-15,South Africa,0.2912,0.0932,0.025,0.0066,0.0014,0.0008
2026-06-15,Saudi Arabia,0.5022,0.1316,0.045,0.0134,0.004,0.0008
2026-06-15,Tunisia,0.1506,0.0476,0.0174,0.0066,0.002,0.0006
2026-06-15,Cape Verde,0.4582,0.0962,0.0254,0.0058,0.0024,0.0004
2026-06-15,Jordan,0.357,0.1054,0.0358,0.0126,0.0034,0.0004
2026-06-15,Iraq,0.359,0.1216,0.0348,0.0088,0.003,0.0004
2026-06-15,Ghana,0.3864,0.091,0.019,0.003,0.0006,0.0004
2026-06-15,Haiti,0.1002,0.0234,0.0074,0.0016,0.0012,0.0002
2026-06-15,Bosnia and Herzegovina,0.444,0.1042,0.0172,0.004,0.001,0.0
2026-06-15,Czech Republic,0.3806,0.1404,0.0394,0.0086,0.0014,0.0
2026-06-15,Qatar,0.5196,0.1314,0.0266,0.0044,0.0004,0.0
2026-06-15,Curaçao,0.0836,0.0124,0.002,0.0004,0.0,0.0
2026-06-16,Argentina,0.9982,0.731,0.5422,0.3924,0.263,0.1722
2026-06-16,Spain,0.8976,0.564,0.3722,0.255,0.1584,0.0916
2026-06-16,Brazil,0.9452,0.604,0.404,0.2426,0.1404,0.0816
2026-06-16,England,0.9518,0.611,0.3872,0.2382,0.1384,0.0772
2026-06-16,France,0.9922,0.6544,0.3836,0.219,0.1186,0.0624
2026-06-16,Portugal,0.864,0.5726,0.336,0.1814,0.101,0.0562
2026-06-16,Morocco,0.9066,0.5322,0.3364,0.1922,0.1,0.0514
2026-06-16,Colombia,0.8562,0.572,0.335,0.176,0.0916,0.046
2026-06-16,Japan,0.8906,0.4754,0.3016,0.1676,0.0872,0.0436
2026-06-16,Germany,0.996,0.6212,0.3238,0.1728,0.087,0.037
2026-06-16,Australia,0.973,0.5894,0.2806,0.1328,0.0664,0.0298
2026-06-16,Netherlands,0.8636,0.426,0.2494,0.1254,0.06,0.027
2026-06-16,Belgium,0.7952,0.4768,0.239,0.1116,0.056,0.0248
2026-06-16,Mexico,0.9864,0.6108,0.2922,0.1264,0.0522,0.0214
2026-06-16,Uruguay,0.7476,0.3436,0.1742,0.0902,0.0436,0.0168
2026-06-16,Norway,0.9722,0.5234,0.2382,0.1044,0.0434,0.0148
2026-06-16,United States,0.9822,0.5786,0.263,0.0996,0.039,0.0146
2026-06-16,Canada,0.8858,0.504,0.2466,0.091,0.037,0.0142
2026-06-16,Ecuador,0.7074,0.3544,0.1748,0.0768,0.03,0.013
2026-06-16,Iran,0.695,0.3882,0.172,0.075,0.0348,0.0128
2026-06-16,South Korea,0.951,0.5274,0.2078,0.0828,0.0312,0.0124
2026-06-16,Switzerland,0.8068,0.421,0.1812,0.0724,0.0306,0.012
2026-06-16,Croatia,0.8118,0.3616,0.1556,0.0692,0.026,0.0112
2026-06-16,Algeria,0.5538,0.2436,0.1152,0.0528,0.0212,0.0106
2026-06-16,Austria,0.9226,0.3704,0.1662,0.0724,0.0248,0.0094
2026-06-16,Ivory Coast,0.9644,0.4308,0.1688,0.0724,0.0268,0.0078
2026-06-16,Senegal,0.5486,0.2558,0.1142,0.045,0.0166,0.0072
2026-06-16,Uzbekistan,0.5264,0.2304,0.0898,0.0338,0.0116,0.0044
2026-06-16,Egypt,0.6072,0.248,0.092,0.0332,0.0136,0.0026
2026-06-16,Sweden,0.9178,0.2904,0.1074,0.0366,0.009,0.0026
2026-06-16,Scotland,0.781,0.2476,0.0876,0.0284,0.0076,0.002
2026-06-16,New Zealand,0.5442,0.2104,0.0656,0.0216,0.0052,0.0014
2026-06-16,DR Congo,0.3936,0.142,0.0448,0.014,0.0054,0.0014
2026-06-16,Saudi Arabia,0.5202,0.117,0.0366,0.0104,0.0022,0.0012
2026-06-16,Turkey,0.3694,0.1296,0.0384,0.0118,0.003,0.0008
2026-06-16,Tunisia,0.1458,0.05,0.0178,0.0066,0.0024,0.0008
2026-06-16,Czech Republic,0.3818,0.1364,0.0416,0.0092,0.0024,0.0008
2026-06-16,Paraguay,0.2954,0.1004,0.034,0.0106,0.0032,0.0006
2026-06-16,Ghana,0.3768,0.0894,0.0224,0.007,0.0016,0.0004
2026-06-16,Qatar,0.5198,0.1216,0.0224,0.003,0.0006,0.0004
2026-06-16,Panama,0.4776,0.1318,0.0374,0.0112,0.0016,0.0004
2026-06-16,Cape Verde,0.4572,0.09,0.0228,0.0076,0.002,0.0004
2026-06-16,South Africa,0.2876,0.0928,0.0236,0.006,0.0016,0.0002
2026-06-16,Haiti,0.107,0.0244,0.0082,0.0022,0.0004,0.0002
2026-06-16,Iraq,0.1454,0.0406,0.011,0.0012,0.0002,0.0002
2026-06-16,Jordan,0.1486,0.0452,0.0158,0.0048,0.0012,0.0002
2026-06-16,Bosnia and Herzegovina,0.4548,0.1056,0.0182,0.0034,0.0,0.0
2026-06-16,Curaçao,0.0766,0.0128,0.0016,0.0,0.0,0.0
2026-06-17,Argentina,0.9984,0.7266,0.5386,0.389,0.2602,0.1718
2026-06-17,Spain,0.895,0.566,0.375,0.2584,0.1606,0.0944
2026-06-17,Brazil,0.9454,0.6016,0.4018,0.241,0.1416,0.0826
2026-06-17,England,0.9524,0.6124,0.3864,0.2392,0.1388,0.0776
2026-06-17,France,0.9922,0.6538,0.3834,0.2204,0.118,0.062
2026-06-17,Portugal,0.8638,0.5736,0.3364,0.1808,0.0998,0.0554
2026-06-17,Morocco,0.905,0.5298,0.334,0.1898,0.098,0.0492
2026-06-17,Colombia,0.8564,0.5714,0.3324,0.1742,0.0918,0.0464
2026-06-17,Japan,0.8896,0.475,0.2982,0.1652,0.0866,0.0434
2026-06-17,Germany,0.9962,0.6216,0.324,0.1732,0.0878,0.0368
2026-06-17,Australia,0.9724,0.5892,0.2792,0.1324,0.0664,0.0298
2026-06-17,Netherlands,0.8642,0.4276,0.249,0.1254,0.0584,0.0268
2026-06-17,Belgium,0.7944,0.4758,0.2394,0.1106,0.0554,0.0244
2026-06-17,Mexico,0.9866,0.6126,0.2942,0.1284,0.0528,0.0216
2026-06-17,Uruguay,0.746,0.3434,0.1762,0.0924,0.045,0.0178
2026-06-17,Norway,0.9726,0.524,0.2398,0.1056,0.0446,0.015
2026-06-17,United States,0.982,0.58,0.264,0.099,0.039,0.0146
2026-06-17,Canada,0.8852,0.5048,0.2478,0.092,0.0382,0.014
2026-06-17,Ecuador,0.7096,0.358,0.1764,0.0774,0.0304,0.0134
2026-06-17,Iran,0.6954,0.3868,0.1728,0.0744,0.035,0.0126
2026-06-17,South Korea,0.9504,0.5262,0.2074,0.0824,0.0314,0.0124
2026-06-17,Switzerland,0.807,0.4208,0.182,0.0726,0.0302,0.0114
2026-06-17,Croatia,0.811,0.3642,0.158,0.0718,0.0268,0.0114
2026-06-17,Algeria,0.5524,0.2414,0.1138,0.0518,0.021,0.0108
2026-06-17,Austria,0.9222,0.3708,0.1654,0.0726,0.025,0.0094
2026-06-17,Ivory Coast,0.9636,0.4264,0.1676,0.0708,0.0266,0.0072
2026-06-17,Senegal,0.546,0.2556,0.1138,0.0442,0.0162,0.0068
2026-06-17,Uzbekistan,0.5256,0.2258,0.0876,0.033,0.0112,0.0042
2026-06-17,Sweden,0.9192,0.2908,0.1092,0.0378,0.0094,0.0028
2026-06-17,Egypt,0.6082,0.2478,0.0906,0.0332,0.0138,0.0024
2026-06-17,Scotland,0.7802,0.248,0.088,0.0286,0.0076,0.0022
2026-06-17,New Zealand,0.543,0.2092,0.0668,0.0222,0.005,0.0014
2026-06-17,DR Congo,0.3956,0.1424,0.0448,0.0142,0.0054,0.0014
2026-06-17,Saudi Arabia,0.5216,0.1188,0.0368,0.0106,0.0024,0.0012
2026-06-17,Czech Republic,0.3822,0.1362,0.0414,0.0092,0.0024,0.001
2026-06-17,Turkey,0.3688,0.1296,0.0392,0.0112,0.0028,0.0008
2026-06-17,Paraguay,0.2984,0.1042,0.0348,0.0116,0.0032,0.0006
2026-06-17,Tunisia,0.1442,0.05,0.018,0.007,0.0022,0.0006
2026-06-17,Ghana,0.3772,0.0894,0.0222,0.0072,0.0016,0.0004
2026-06-17,Qatar,0.52,0.1212,0.023,0.0032,0.0008,0.0004
2026-06-17,Panama,0.476,0.131,0.0372,0.0112,0.0012,0.0004
2026-06-17,Cape Verde,0.457,0.0918,0.0232,0.0076,0.002,0.0004
2026-06-17,South Africa,0.2884,0.0932,0.0238,0.006,0.0018,0.0002
2026-06-17,Haiti,0.107,0.0244,0.0082,0.0018,0.0002,0.0002
2026-06-17,Iraq,0.1478,0.041,0.0114,0.0012,0.0002,0.0002
2026-06-17,Jordan,0.1506,0.0452,0.0156,0.005,0.0012,0.0002
2026-06-17,Bosnia and Herzegovina,0.4572,0.1068,0.0194,0.0032,0.0,0.0
2026-06-17,Curaçao,0.0764,0.0138,0.0018,0.0,0.0,0.0
2026-06-18,Argentina,0.9982,0.7322,0.546,0.3944,0.2652,0.173
2026-06-18,Spain,0.9002,0.562,0.3698,0.2528,0.1572,0.0904
2026-06-18,Brazil,0.9424,0.5992,0.3986,0.2394,0.1374,0.08
2026-06-18,England,0.9526,0.6156,0.3886,0.242,0.1422,0.0796
